,2017,2030,2017 (MO),2030 (MO),,,,,,,,,
2047,48,63.479,27.15,48.527,,,,,,,,,
2048,48.16,73.187,27.16,48.633,,,,,,,,,
2049,40.91,63.074,27.16,48.635,,,,,,,,,
2050,36.56,62.266,27.17,48.643,,,,,,,,,
2051,33.24,61.869,27.18,48.644,,,,,,,,,
2052,30.48,58.086,27.18,48.644,,,,,,,,,
2053,29.67,62.266,27.18,48.644,,,,,,,,,
2054,29.11,57.836,27.2,48.644,,,,,,,,,
2055,28.92,57.756,27.2,48.644,,,,,,,,,
2056,29.9,60.872,27.21,48.644,,,,,,,,,
2057,32.35,62.265,27.22,48.644,,,,,,,,,
2058,40,62.266,27.22,48.644,,,,,,,,,
2059,46.99,62.268,27.23,48.644,,,,,,,,,
2060,46.27,73.592,27.24,48.644,,,,,,,,,
2061,39.98,62.267,27.24,48.644,,,,,,,,,
2062,37.94,62.266,27.25,48.645,,,,,,,,,
2063,32.4,61.512,27.25,48.663,,,,,,,,,
2064,28.71,60.936,27.26,48.695,,,,,,,,,
2065,28.07,55.757,27.27,48.746,,,,,,,,,
2066,27.43,49.809,27.27,48.777,,,,,,,,,
2067,27.24,49.809,27.27,48.783,,,,,,,,,
2068,27.72,49.809,27.28,48.784,,,,,,,,,
2069,29.06,61.156,27.28,48.784,,,,,,,,,
2070,38.91,62.265,27.29,48.785,,,,,,,,,
2071,46.13,62.967,27.29,48.811,,,,,,,,,
2072,50,68.232,27.29,48.811,,,,,,,,,
2073,43.03,62.265,27.3,48.811,,,,,,,,,
2074,39.94,62.264,27.3,48.82,,,,,,,,,
2075,37.4,61.334,27.3,48.82,,,,,,,,,
2076,32.29,60.55,27.3,48.846,,,,,,,,,
2077,30.71,53.141,27.3,48.896,,,,,,,,,
2078,29.98,49.809,27.31,48.908,,,,,,,,,
2079,30,49.809,27.31,48.908,,,,,,,,,
2080,30.05,58.258,27.32,48.908,,,,,,,,,
2081,32.16,61.156,27.32,48.908,,,,,,,,,
2082,37.46,62.265,27.32,48.908,,,,,,,,,
2083,41.41,62.265,27.35,48.982,,,,,,,,,
2084,41.01,73.187,27.35,48.989,,,,,,,,,
2085,36.4,62.265,27.35,48.989,,,,,,,,,
2086,33.56,62.265,27.35,48.989,,,,,,,,,
2087,28.9,61.486,27.36,48.989,,,,,,,,,
2088,28.06,59.806,27.37,48.989,,,,,,,,,
2089,26.71,59.805,27.38,48.989,,,,,,,,,
2090,26.68,54.714,27.39,48.989,,,,,,,,,
2091,26.07,47.841,27.4,48.99,,,,,,,,,
2092,26.09,47.841,27.4,48.99,,,,,,,,,
2093,26.95,59.804,27.4,48.994,,,,,,,,,
2094,34.16,59.806,27.4,48.994,,,,,,,,,
2095,39.56,59.806,27.41,48.997,,,,,,,,,
2096,39.78,59.806,27.41,48.997,,,,,,,,,
2097,30.88,59.806,27.41,48.997,,,,,,,,,
2098,27.66,59.805,27.42,49.001,,,,,,,,,
2099,26.55,44.339,27.43,49.015,,,,,,,,,
2100,27.25,34.926,27.43,49.04,,,,,,,,,
2101,26.05,32.798,27.43,49.109,,,,,,,,,
2102,26.09,3.29E-06,27.44,49.215,,,,,,,,,
2103,28.05,1.79E-06,27.44,49.215,,,,,,,,,
2104,30.65,28.21,27.44,49.215,,,,,,,,,
2105,31.23,38.271,27.44,49.215,,,,,,,,,
2106,35.19,47.842,27.45,49.215,,,,,,,,,
2107,40.47,59.806,27.46,49.215,,,,,,,,,
2108,41.81,59.806,27.46,49.358,,,,,,,,,
2109,37.66,47.842,27.47,49.36,,,,,,,,,
2110,35.07,47.841,27.47,49.36,,,,,,,,,
2111,30.72,36.054,27.48,49.36,,,,,,,,,
2112,28.73,29.098,27.48,49.36,,,,,,,,,
2113,28.02,29.097,27.48,49.392,,,,,,,,,
2114,27.3,28.21,27.49,49.402,,,,,,,,,
2115,26.38,2.8389,27.49,49.402,,,,,,,,,
2116,26.78,28.21,27.5,49.402,,,,,,,,,
2117,28.53,30.238,27.5,49.402,,,,,,,,,
2118,36,43.316,27.5,49.402,,,,,,,,,
2119,43.06,59.803,27.5,49.402,,,,,,,,,
2120,46.01,39.86,27.51,49.405,,,,,,,,,
2121,42.86,30.006,27.52,49.405,,,,,,,,,
2122,39.93,7.74E-06,27.53,49.405,,,,,,,,,
2123,38.42,6.10E-07,27.53,49.405,,,,,,,,,
2124,33.01,3.23E-07,27.53,49.405,,,,,,,,,
2125,30.98,2.94E-07,27.54,49.406,,,,,,,,,
2126,29.58,3.04E-07,27.54,49.406,,,,,,,,,
2127,29.07,3.93E-07,27.55,49.56,,,,,,,,,
2128,28.93,1.02E-06,27.56,49.56,,,,,,,,,
2129,30.43,0.00014488,27.56,49.56,,,,,,,,,
2130,35.93,28.207,27.57,49.56,,,,,,,,,
2131,40.46,47.841,27.57,49.56,,,,,,,,,
2132,40.07,54.375,27.57,49.56,,,,,,,,,
2133,35,28.208,27.58,49.56,,,,,,,,,
2134,32.47,28.207,27.58,49.56,,,,,,,,,
2135,28.94,20.591,27.59,49.56,,,,,,,,,
2136,26.91,3.59E-06,27.59,49.56,,,,,,,,,
2137,24.77,2.47E-06,27.59,49.56,,,,,,,,,
2138,24.45,2.07E-06,27.6,49.56,,,,,,,,,
2139,23.05,2.93E-06,27.6,49.561,,,,,,,,,
2140,23.45,2.98E-06,27.6,49.699,,,,,,,,,
2141,27.24,22.565,27.6,49.699,,,,,,,,,
2142,33.09,47.195,27.6,49.772,,,,,,,,,
2143,37.95,59.806,27.6,49.772,,,,,,,,,
2144,38.99,59.806,27.61,49.772,,,,,,,,,
2145,37.97,59.806,27.62,49.808,,,,,,,,,
2146,35.93,53.352,27.62,49.809,,,,,,,,,
2147,33.32,43.422,27.62,49.809,,,,,,,,,
2148,30.02,28.208,27.62,49.809,,,,,,,,,
2149,28.09,20.592,27.63,49.809,,,,,,,,,
2150,27.63,20.591,27.63,49.809,,,,,,,,,
2151,28.29,5.79E-06,27.63,49.809,,,,,,,,,
2152,28.36,20.59,27.63,49.809,,,,,,,,,
2153,30.43,22.564,27.64,49.809,,,,,,,,,
2154,34.67,28.207,27.64,49.809,,,,,,,,,
2155,38.98,47.841,27.64,49.809,,,,,,,,,
2156,39.96,47.842,27.64,49.809,,,,,,,,,
2157,37.91,28.206,27.65,49.809,,,,,,,,,
2158,35.95,0.00010053,27.65,49.809,,,,,,,,,
2159,32.02,1.20E-06,27.66,49.809,,,,,,,,,
2160,27.08,4.65E-07,27.66,49.809,,,,,,,,,
2161,28.07,2.72E-07,27.66,49.809,,,,,,,,,
2162,28.08,2.10E-07,27.67,49.809,,,,,,,,,
2163,26.9,1.89E-07,27.68,49.81,,,,,,,,,
2164,27,1.74E-07,27.68,49.81,,,,,,,,,
2165,27.98,1.67E-07,27.68,49.81,,,,,,,,,
2166,29.87,2.80E-07,27.69,49.81,,,,,,,,,
2167,32.09,5.24E-07,27.7,49.81,,,,,,,,,
2168,34.42,4.34E-07,27.7,49.81,,,,,,,,,
2169,35.1,3.52E-07,27.7,49.81,,,,,,,,,
2170,28.9,2.43E-07,27.71,49.811,,,,,,,,,
2171,27.09,2.51E-07,27.72,49.885,,,,,,,,,
2172,25.99,2.54E-07,27.72,49.885,,,,,,,,,
2173,26.07,2.11E-07,27.72,49.885,,,,,,,,,
2174,25.29,2.00E-07,27.73,49.886,,,,,,,,,
2175,24.81,2.08E-07,27.73,49.886,,,,,,,,,
2176,25.65,3.00E-07,27.73,49.886,,,,,,,,,
2177,27.99,2.41E-06,27.73,49.887,,,,,,,,,
2178,33.66,33.1,27.74,50.038,,,,,,,,,
2179,38.7,47.841,27.75,50.038,,,,,,,,,
2180,39.6,59.806,27.75,50.038,,,,,,,,,
2181,38.98,59.806,27.75,50.038,,,,,,,,,
2182,37.96,59.806,27.76,50.038,,,,,,,,,
2183,31.86,59.806,27.77,50.038,,,,,,,,,
2184,32.92,47.842,27.77,50.038,,,,,,,,,
2185,27.5,47.842,27.77,50.038,,,,,,,,,
2186,26.77,47.842,27.77,50.038,,,,,,,,,
2187,26.67,47.841,27.77,50.038,,,,,,,,,
2188,26.49,47.841,27.78,50.038,,,,,,,,,
2189,26.42,47.841,27.78,50.038,,,,,,,,,
2190,26.65,47.842,27.78,50.039,,,,,,,,,
2191,27.14,59.805,27.78,50.039,,,,,,,,,
2192,29.06,59.804,27.79,50.043,,,,,,,,,
2193,29.56,45.641,27.79,50.052,,,,,,,,,
2194,28.54,31.388,27.79,50.052,,,,,,,,,
2195,28.2,6.64E-07,27.79,50.052,,,,,,,,,
2196,27.22,2.49E-07,27.79,50.052,,,,,,,,,
2197,26.02,1.67E-07,27.8,50.052,,,,,,,,,
2198,21.05,1.59E-07,27.81,50.053,,,,,,,,,
2199,20.57,1.91E-07,27.82,50.053,,,,,,,,,
2200,23.31,3.51E-07,27.82,50.053,,,,,,,,,
2201,26,1.59E-06,27.83,50.053,,,,,,,,,
2202,29.6,31.388,27.83,50.053,,,,,,,,,
2203,39.1,42.997,27.84,50.053,,,,,,,,,
2204,42.22,47.841,27.84,50.053,,,,,,,,,
2205,39.92,42.997,27.85,50.053,,,,,,,,,
2206,40.51,34.395,27.86,50.053,,,,,,,,,
2207,37.78,31.388,27.86,50.053,,,,,,,,,
2208,34.38,31.138,27.87,50.053,,,,,,,,,
2209,31.95,31.139,27.88,50.053,,,,,,,,,
2210,29.88,31.388,27.89,50.053,,,,,,,,,
2211,28.75,34.395,27.89,50.054,,,,,,,,,
2212,28.44,43.204,27.9,50.054,,,,,,,,,
2213,31.64,47.842,27.9,50.117,,,,,,,,,
2214,41.77,59.807,27.9,50.291,,,,,,,,,
2215,49.28,66.347,27.91,50.331,,,,,,,,,
2216,54.02,66.347,27.91,50.344,,,,,,,,,
2217,50,61.242,27.92,50.407,,,,,,,,,
2218,48.43,59.806,27.92,50.41,,,,,,,,,
2219,44.95,59.802,27.93,50.41,,,,,,,,,
2220,38.93,57.77,27.93,50.41,,,,,,,,,
2221,36.68,56.876,27.93,50.428,,,,,,,,,
2222,32.94,58.663,27.94,50.434,,,,,,,,,
2223,30.91,59.798,27.94,50.442,,,,,,,,,
2224,31.72,59.803,27.94,50.455,,,,,,,,,
2225,32.19,61.757,27.94,50.455,,,,,,,,,
2226,37.46,63.05,27.95,50.456,,,,,,,,,
2227,41.78,66.348,27.95,50.457,,,,,,,,,
2228,43.59,77.134,27.95,50.457,,,,,,,,,
2229,38.97,66.348,27.96,50.574,,,,,,,,,
2230,35.18,66.347,27.96,50.574,,,,,,,,,
2231,31.08,62.127,27.96,50.574,,,,,,,,,
2232,31.57,59.806,27.96,50.725,,,,,,,,,
2233,30.13,59.806,27.97,50.725,,,,,,,,,
2234,29.29,59.806,27.97,50.725,,,,,,,,,
2235,29.47,58.086,27.97,50.725,,,,,,,,,
2236,29.8,59.806,27.97,50.726,,,,,,,,,
2237,31.83,61.757,27.98,50.726,,,,,,,,,
2238,41.17,66.347,27.98,50.726,,,,,,,,,
2239,51.01,66.351,27.99,50.726,,,,,,,,,
2240,52.39,67.037,27.99,50.726,,,,,,,,,
2241,50.94,66.348,27.99,50.726,,,,,,,,,
2242,43.3,66.347,27.99,50.726,,,,,,,,,
2243,42.33,61.995,28,50.726,,,,,,,,,
2244,39.16,59.806,28,50.726,,,,,,,,,
2245,37.72,59.806,28,50.726,,,,,,,,,
2246,34.6,59.806,28,50.726,,,,,,,,,
2247,34.45,59.806,28,50.726,,,,,,,,,
2248,34.45,59.806,28,50.726,,,,,,,,,
2249,37.49,62.265,28,50.726,,,,,,,,,
2250,41.59,66.347,28,50.726,,,,,,,,,
2251,45.26,66.347,28,50.726,,,,,,,,,
2252,47.57,67.044,28.01,50.726,,,,,,,,,
2253,40.07,62.265,28.01,50.726,,,,,,,,,
2254,38.91,60.936,28.01,50.779,,,,,,,,,
2255,33.04,59.806,28.01,50.779,,,,,,,,,
2256,30,59.559,28.01,50.779,,,,,,,,,
2257,29.64,48.436,28.01,50.779,,,,,,,,,
2258,28.39,47.842,28.02,50.779,,,,,,,,,
2259,27.94,47.353,28.02,50.779,,,,,,,,,
2260,27.49,47.842,28.02,50.779,,,,,,,,,
2261,29.65,57.736,28.03,50.779,,,,,,,,,
2262,37.1,57.739,28.03,50.779,,,,,,,,,
2263,44.2,61.538,28.03,50.779,,,,,,,,,
2264,48.1,66.347,28.03,50.828,,,,,,,,,
2265,44.03,66.347,28.04,50.867,,,,,,,,,
2266,39.02,59.806,28.04,50.918,,,,,,,,,
2267,36.98,57.185,28.04,50.919,,,,,,,,,
2268,34.03,59.806,28.04,50.919,,,,,,,,,
2269,32.89,57.538,28.04,50.919,,,,,,,,,
2270,30.06,59.805,28.04,50.919,,,,,,,,,
2271,29.53,59.806,28.05,50.919,,,,,,,,,
2272,30.01,59.805,28.05,50.919,,,,,,,,,
2273,30.06,61.241,28.05,50.919,,,,,,,,,
2274,29.9,63.767,28.05,50.919,,,,,,,,,
2275,32.69,66.347,28.06,50.919,,,,,,,,,
2276,35,66.351,28.06,50.919,,,,,,,,,
2277,29.93,66.347,28.06,50.919,,,,,,,,,
2278,27.87,62.265,28.06,50.919,,,,,,,,,
2279,20,61.24,28.06,50.92,,,,,,,,,
2280,12.48,59.806,28.06,50.92,,,,,,,,,
2281,9.87,59.803,28.06,50.975,,,,,,,,,
2282,9.04,58.683,28.06,50.975,,,,,,,,,
2283,14.9,58.682,28.07,50.975,,,,,,,,,
2284,22,58.682,28.07,50.975,,,,,,,,,
2285,24.55,59.806,28.07,50.975,,,,,,,,,
2286,35.96,62.047,28.07,50.975,,,,,,,,,
2287,40.97,66.347,28.07,50.975,,,,,,,,,
2288,40.81,66.351,28.08,50.985,,,,,,,,,
2289,38.26,66.351,28.08,50.985,,,,,,,,,
2290,37.59,66.347,28.08,51.023,,,,,,,,,
2291,35.46,66.347,28.08,51.073,,,,,,,,,
2292,31.07,62.552,28.08,51.098,,,,,,,,,
2293,30.08,59.806,28.08,51.101,,,,,,,,,
2294,28.33,59.806,28.09,51.116,,,,,,,,,
2295,28.19,59.806,28.09,51.149,,,,,,,,,
2296,28.08,59.806,28.09,51.149,,,,,,,,,
2297,32.12,66.347,28.09,51.149,,,,,,,,,
2298,38.05,66.347,28.09,51.149,,,,,,,,,
2299,40.98,66.348,28.09,51.149,,,,,,,,,
2300,40.87,70.229,28.09,51.149,,,,,,,,,
2301,38.04,66.347,28.1,51.169,,,,,,,,,
2302,34.27,66.347,28.1,51.232,,,,,,,,,
2303,27.79,62.127,28.1,51.252,,,,,,,,,
2304,24.99,61.336,28.1,51.252,,,,,,,,,
2305,23.02,59.806,28.1,51.358,,,,,,,,,
2306,18.31,59.806,28.1,51.358,,,,,,,,,
2307,19.17,58.204,28.11,51.378,,,,,,,,,
2308,20.87,59.796,28.11,51.403,,,,,,,,,
2309,27.07,59.806,28.11,51.403,,,,,,,,,
2310,32.05,59.806,28.12,51.404,,,,,,,,,
2311,39.97,64.942,28.12,51.467,,,,,,,,,
2312,41.57,66.347,28.12,51.47,,,,,,,,,
2313,40.94,66.347,28.12,51.47,,,,,,,,,
2314,39.98,61.374,28.12,51.47,,,,,,,,,
2315,40.02,59.806,28.12,51.47,,,,,,,,,
2316,38.14,59.806,28.13,51.47,,,,,,,,,
2317,35.29,59.806,28.14,51.47,,,,,,,,,
2318,32.67,59.806,28.15,51.47,,,,,,,,,
2319,32.97,54.528,28.16,51.471,,,,,,,,,
2320,32.98,59.806,28.17,51.496,,,,,,,,,
2321,36.09,54.529,28.18,51.496,,,,,,,,,
2322,39.12,59.806,28.18,51.496,,,,,,,,,
2323,39.91,59.806,28.19,51.496,,,,,,,,,
2324,39.96,66.347,28.19,51.496,,,,,,,,,
2325,39.31,66.347,28.2,51.5,,,,,,,,,
2326,39.61,59.985,28.2,51.501,,,,,,,,,
2327,37.93,59.805,28.2,51.575,,,,,,,,,
2328,32.71,59.803,28.2,51.713,,,,,,,,,
2329,32.28,59.802,28.21,51.713,,,,,,,,,
2330,32.81,44.511,28.21,51.713,,,,,,,,,
2331,31.5,44.51,28.21,51.713,,,,,,,,,
2332,30.44,42.357,28.22,51.713,,,,,,,,,
2333,31.7,44.51,28.22,51.713,,,,,,,,,
2334,34.72,44.51,28.23,51.713,,,,,,,,,
2335,37.91,55.641,28.23,51.713,,,,,,,,,
2336,39.43,55.641,28.23,51.713,,,,,,,,,
2337,38.99,44.51,28.24,51.713,,,,,,,,,
2338,36.5,40.618,28.24,51.713,,,,,,,,,
2339,34.94,33.617,28.24,51.713,,,,,,,,,
2340,30.66,33.097,28.25,51.713,,,,,,,,,
2341,29.5,5.37E-06,28.25,51.713,,,,,,,,,
2342,27.81,21.449,28.25,51.713,,,,,,,,,
2343,27.53,29.004,28.26,51.713,,,,,,,,,
2344,28.28,33.097,28.27,51.714,,,,,,,,,
2345,30.02,40.618,28.28,51.714,,,,,,,,,
2346,35.85,55.641,28.28,51.714,,,,,,,,,
2347,39.3,55.642,28.28,51.714,,,,,,,,,
2348,41.88,66.347,28.28,51.714,,,,,,,,,
2349,41.58,55.642,28.29,51.724,,,,,,,,,
2350,42.07,55.642,28.29,51.803,,,,,,,,,
2351,39.02,55.642,28.29,51.918,,,,,,,,,
2352,33.98,0,28.29,52.005,,,,,,,,,
2353,31.06,60.428,28.29,52.005,,,,,,,,,
2354,31.04,60.428,28.29,52.005,,,,,,,,,
2355,27.54,60.428,28.3,52.005,,,,,,,,,
2356,28.46,60.428,28.3,52.005,,,,,,,,,
2357,27.79,60.428,28.3,52.005,,,,,,,,,
2358,28.48,59.393,28.31,52.005,,,,,,,,,
2359,30.52,60.423,28.31,52.005,,,,,,,,,
2360,30.63,60.428,28.32,52.005,,,,,,,,,
2361,29.44,60.428,28.32,52.005,,,,,,,,,
2362,27.78,47.645,28.32,52.005,,,,,,,,,
2363,26.4,43.683,28.33,52.005,,,,,,,,,
2364,24.04,42.357,28.33,52.005,,,,,,,,,
2365,20.79,36.069,28.33,52.005,,,,,,,,,
2366,12.98,32.987,28.34,52.005,,,,,,,,,
2367,15,26.279,28.34,52.005,,,,,,,,,
2368,20.07,26.08,28.35,52.005,,,,,,,,,
2369,24.44,42.356,28.36,52.005,,,,,,,,,
2370,32.4,45.589,28.36,52.005,,,,,,,,,
2371,38.24,58.023,28.36,52.005,,,,,,,,,
2372,39.53,60.709,28.37,52.062,,,,,,,,,
2373,37.57,66.62,28.37,52.063,,,,,,,,,
2374,35.2,58.023,28.38,52.064,,,,,,,,,
2375,24.08,54.607,28.38,52.064,,,,,,,,,
2376,26.03,43.422,28.38,52.064,,,,,,,,,
2377,23.02,36.065,28.39,52.064,,,,,,,,,
2378,20.36,33.097,28.39,52.064,,,,,,,,,
2379,12.26,31.137,28.4,52.064,,,,,,,,,
2380,19.95,31.003,28.41,52.064,,,,,,,,,
2381,26.08,31.137,28.41,52.064,,,,,,,,,
2382,38.93,31.138,28.42,52.064,,,,,,,,,
2383,38.93,33.097,28.42,52.064,,,,,,,,,
2384,38.09,38.162,28.42,52.064,,,,,,,,,
2385,35.25,42.655,28.42,52.064,,,,,,,,,
2386,30.89,41.688,28.43,52.064,,,,,,,,,
2387,27.57,33.902,28.43,52.064,,,,,,,,,
2388,24.01,33.349,28.43,52.064,,,,,,,,,
2389,17.91,31.137,28.43,52.064,,,,,,,,,
2390,9.37,9.6445,28.44,52.064,,,,,,,,,
2391,17.92,9.6383,28.44,52.064,,,,,,,,,
2392,21.63,30.954,28.44,52.064,,,,,,,,,
2393,26.2,41.689,28.44,52.064,,,,,,,,,
2394,32.26,53.293,28.44,52.064,,,,,,,,,
2395,38.32,57.061,28.44,52.064,,,,,,,,,
2396,38.74,60.149,28.44,52.064,,,,,,,,,
2397,37.95,57.06,28.44,52.064,,,,,,,,,
2398,31.29,53.293,28.45,52.064,,,,,,,,,
2399,24.02,42.632,28.46,52.064,,,,,,,,,
2400,24.83,38.904,28.46,52.064,,,,,,,,,
2401,23.52,28.21,28.46,52.064,,,,,,,,,
2402,23.55,1.48E-05,28.46,52.064,,,,,,,,,
2403,23.53,9.41E-06,28.46,52.064,,,,,,,,,
2404,25.63,4.87E-06,28.46,52.064,,,,,,,,,
2405,28.12,28.21,28.47,52.064,,,,,,,,,
2406,37.91,42.632,28.47,52.069,,,,,,,,,
2407,41.52,53.293,28.48,52.07,,,,,,,,,
2408,43.5,53.504,28.49,52.07,,,,,,,,,
2409,40.93,53.503,28.49,52.07,,,,,,,,,
2410,37.45,43.925,28.49,52.07,,,,,,,,,
2411,34.16,41.653,28.5,52.07,,,,,,,,,
2412,31,41.225,28.5,52.07,,,,,,,,,
2413,29.66,53.293,28.5,52.07,,,,,,,,,
2414,29.98,57.081,28.5,52.07,,,,,,,,,
2415,31.9,57.676,28.5,52.07,,,,,,,,,
2416,31.83,60.55,28.51,52.07,,,,,,,,,
2417,35.3,61.155,28.52,52.07,,,,,,,,,
2418,37.95,62.685,28.52,52.07,,,,,,,,,
2419,43.1,66.62,28.52,52.07,,,,,,,,,
2420,43.27,66.706,28.53,52.112,,,,,,,,,
2421,38.38,66.62,28.53,52.113,,,,,,,,,
2422,37.08,66.62,28.53,52.127,,,,,,,,,
2423,30.17,62.429,28.54,52.127,,,,,,,,,
2424,25.99,61.156,28.54,52.127,,,,,,,,,
2425,24.42,59.877,28.55,52.171,,,,,,,,,
2426,23.02,58.177,28.55,52.171,,,,,,,,,
2427,20.5,58.177,28.56,52.175,,,,,,,,,
2428,23.01,58.185,28.57,52.191,,,,,,,,,
2429,23.09,61.156,28.57,52.243,,,,,,,,,
2430,31.02,62.552,28.57,52.257,,,,,,,,,
2431,36.44,66.62,28.58,52.257,,,,,,,,,
2432,37.95,66.676,28.58,52.257,,,,,,,,,
2433,34.02,66.62,28.58,52.257,,,,,,,,,
2434,29.29,66.62,28.58,52.257,,,,,,,,,
2435,27.35,66.62,28.59,52.258,,,,,,,,,
2436,23.65,62.681,28.59,52.316,,,,,,,,,
2437,23.06,60.529,28.59,52.368,,,,,,,,,
2438,23.4,59.709,28.59,52.368,,,,,,,,,
2439,23.05,59.071,28.59,52.368,,,,,,,,,
2440,26.06,66.62,28.6,52.368,,,,,,,,,
2441,27.56,66.62,28.6,52.368,,,,,,,,,
2442,31.34,66.621,28.61,52.368,,,,,,,,,
2443,33.78,66.706,28.61,52.368,,,,,,,,,
2444,34.11,74.626,28.61,52.368,,,,,,,,,
2445,31.95,66.622,28.61,52.368,,,,,,,,,
2446,27.32,66.62,28.61,52.449,,,,,,,,,
2447,23.05,66.62,28.61,52.507,,,,,,,,,
2448,18.01,62.408,28.61,52.507,,,,,,,,,
2449,16.01,62.257,28.61,52.663,,,,,,,,,
2450,17.95,59.015,28.62,52.69,,,,,,,,,
2451,19.8,58.086,28.62,52.788,,,,,,,,,
2452,20.02,58.89,28.63,52.789,,,,,,,,,
2453,26.76,62.264,28.63,52.809,,,,,,,,,
2454,31.95,66.618,28.63,52.809,,,,,,,,,
2455,35.95,66.703,28.64,52.809,,,,,,,,,
2456,35.99,73.761,28.64,52.813,,,,,,,,,
2457,33.48,66.706,28.65,52.815,,,,,,,,,
2458,31.06,66.623,28.65,52.815,,,,,,,,,
2459,28.96,64.723,28.65,52.815,,,,,,,,,
2460,27.01,62.551,28.66,52.827,,,,,,,,,
2461,24.45,61.704,28.66,52.827,,,,,,,,,
2462,24.02,59.071,28.66,52.827,,,,,,,,,
2463,26.57,59.07,28.67,52.827,,,,,,,,,
2464,27.59,59.931,28.67,52.827,,,,,,,,,
2465,30.03,66.62,28.68,52.827,,,,,,,,,
2466,35.93,66.623,28.68,52.864,,,,,,,,,
2467,40,66.623,28.68,52.977,,,,,,,,,
2468,42.24,73.761,28.69,53.107,,,,,,,,,
2469,38.91,66.623,28.69,53.111,,,,,,,,,
2470,36.82,66.623,28.69,53.111,,,,,,,,,
2471,32.97,66.62,28.69,53.112,,,,,,,,,
2472,30.66,62.407,28.7,53.112,,,,,,,,,
2473,26.78,62.265,28.7,53.112,,,,,,,,,
2474,26.96,58.435,28.71,53.131,,,,,,,,,
2475,26.87,57.924,28.71,53.131,,,,,,,,,
2476,26.69,58.086,28.71,53.141,,,,,,,,,
2477,26.76,62.265,28.71,53.144,,,,,,,,,
2478,26.93,63.074,28.72,53.148,,,,,,,,,
2479,27.7,66.62,28.72,53.162,,,,,,,,,
2480,28.73,66.739,28.73,53.162,,,,,,,,,
2481,28.23,66.657,28.73,53.177,,,,,,,,,
2482,27.82,66.62,28.73,53.177,,,,,,,,,
2483,27.88,66.62,28.73,53.252,,,,,,,,,
2484,25.95,63.074,28.74,53.252,,,,,,,,,
2485,27.69,62.432,28.74,53.252,,,,,,,,,
2486,27.65,59.069,28.74,53.292,,,,,,,,,
2487,27.79,59.066,28.74,53.292,,,,,,,,,
2488,28.34,59.202,28.74,53.292,,,,,,,,,
2489,30.66,66.62,28.74,53.292,,,,,,,,,
2490,36.9,66.62,28.75,53.292,,,,,,,,,
2491,38.74,66.628,28.75,53.292,,,,,,,,,
2492,38.37,73.76,28.75,53.292,,,,,,,,,
2493,38.55,66.62,28.75,53.293,,,,,,,,,
2494,37.45,66.62,28.75,53.293,,,,,,,,,
2495,36.95,63.053,28.77,53.293,,,,,,,,,
2496,33.88,62.549,28.77,53.293,,,,,,,,,
2497,30.51,61.995,28.78,53.293,,,,,,,,,
2498,28.82,61.008,28.8,53.293,,,,,,,,,
2499,25.98,58.9,28.8,53.293,,,,,,,,,
2500,20.04,57.756,28.8,53.293,,,,,,,,,
2501,19.1,57.924,28.81,53.293,,,,,,,,,
2502,17.67,61.281,28.81,53.293,,,,,,,,,
2503,17.97,63.502,28.81,53.293,,,,,,,,,
2504,20.1,66.62,28.82,53.293,,,,,,,,,
2505,19.08,66.62,28.82,53.293,,,,,,,,,
2506,13.94,61.995,28.82,53.293,,,,,,,,,
2507,9.43,61.09,28.82,53.294,,,,,,,,,
2508,13.36,61.03,28.82,53.294,,,,,,,,,
2509,7.56,59.015,28.83,53.32,,,,,,,,,
2510,0.25,57.759,28.83,53.32,,,,,,,,,
2511,-1.08,58.872,28.83,53.32,,,,,,,,,
2512,-3.23,58.968,28.83,53.346,,,,,,,,,
2513,7.68,61.711,28.85,53.351,,,,,,,,,
2514,10.03,62.14,28.85,53.352,,,,,,,,,
2515,14.03,66.62,28.86,53.405,,,,,,,,,
2516,13.03,66.62,28.87,53.405,,,,,,,,,
2517,12.04,66.62,28.87,53.405,,,,,,,,,
2518,11.07,62.557,28.87,53.405,,,,,,,,,
2519,9.23,61.192,28.87,53.405,,,,,,,,,
2520,3.94,61.144,28.87,53.405,,,,,,,,,
2521,7.55,60.549,28.88,53.405,,,,,,,,,
2522,5.14,59.981,28.88,53.405,,,,,,,,,
2523,1.91,57.524,28.89,53.405,,,,,,,,,
2524,7.55,61.57,28.89,53.405,,,,,,,,,
2525,14.03,58.202,28.9,53.405,,,,,,,,,
2526,9.2,53.871,28.9,53.405,,,,,,,,,
2527,14.07,59.488,28.9,53.405,,,,,,,,,
2528,15.96,59.699,28.9,53.405,,,,,,,,,
2529,19.01,59.4,28.9,53.405,,,,,,,,,
2530,19.01,59.175,28.91,53.405,,,,,,,,,
2531,28.74,57.584,28.91,53.405,,,,,,,,,
2532,24.03,59.383,28.91,53.405,,,,,,,,,
2533,15.03,53.292,28.92,53.405,,,,,,,,,
2534,16,48.633,28.92,53.405,,,,,,,,,
2535,15.31,46.743,28.92,53.405,,,,,,,,,
2536,15.06,48.635,28.92,53.44,,,,,,,,,
2537,23.03,53.293,28.93,53.447,,,,,,,,,
2538,31.07,59.326,28.93,53.447,,,,,,,,,
2539,31.07,59.071,28.93,53.447,,,,,,,,,
2540,33.95,63.38,28.94,53.447,,,,,,,,,
2541,32.55,66.619,28.94,53.447,,,,,,,,,
